objectid,filename,title,creator,date,date is approx?,description,series number,box number ,folder number,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dubois149,khreport_page_forty.pdf,Page 40 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 40 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits.,2,2-6,230,Page; 40; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_forty,image,/objects/khreport_page_forty.pdf,/objects/small/khreport_page_forty_sm.jpg,/objects/thumbs/khreport_page_forty_th.jpg,,
dubois150,khreport_page_fortyone.pdf,Page 41 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 41 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits.,2,2-6,230,Page; 41; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortyone,image,/objects/khreport_page_fortyone.pdf,/objects/small/khreport_page_fortyone_sm.jpg,/objects/thumbs/khreport_page_fortyone_th.jpg,,
dubois151,khreport_page_fortytwo.pdf,Page 42 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,"Page 42 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits. This page is also stapled onto another page with the handwritten note ""Begin 1/3 down page"". There is also text on the back of the page that has been scribbled out.",2,2-6,230,Page; 42; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortytwo,image,/objects/khreport_page_fortytwo.pdf,/objects/small/khreport_page_fortytwo_sm.jpg,/objects/thumbs/khreport_page_fortytwo_th.jpg,,
dubois152,khreport_page_fortythree.pdf,Page 43 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 43 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.,2,2-6,230,Page; 43; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortythree,image,/objects/khreport_page_fortythree.pdf,/objects/small/khreport_page_fortythree_sm.jpg,/objects/thumbs/khreport_page_fortythree_th.jpg,,
dubois153,khreport_page_fortyfour.pdf,Page 44 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 44 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits and notes.,2,2-6,230,Page; 44; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortyfour,image,/objects/khreport_page_fortyfour.pdf,/objects/small/khreport_page_fortyfour_sm.jpg,/objects/thumbs/khreport_page_fortyfour_th.jpg,,
dubois154,khreport_page_fortyfive.pdf,Page 45 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 45 of the report on Krauch and Haefliger. This page is typed with handwritten rewrites.,2,2-6,230,Page; 45; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortyfive,image,/objects/khreport_page_fortyfive.pdf,/objects/small/khreport_page_fortyfive_sm.jpg,/objects/thumbs/khreport_page_fortyfive_th.jpg,,
dubois155,khreport_page_fortysix.pdf,Page 46 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 46 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits and notes.,2,2-6,230,Page; 46; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortysix,image,/objects/khreport_page_fortysix.pdf,/objects/small/khreport_page_fortysix_sm.jpg,/objects/thumbs/khreport_page_fortysix_th.jpg,,
dubois156,khreport_page_fortyseven.pdf,Page 47 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 47 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.,2,2-6,230,Page; 47; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortyseven,image,/objects/khreport_page_fortyseven.pdf,/objects/small/khreport_page_fortyseven_sm.jpg,/objects/thumbs/khreport_page_fortyseven_th.jpg,,
dubois157,khreport_page_fortyeight.pdf,Page 48 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 48 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.,2,2-6,230,Page; 48; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortyeight,image,/objects/khreport_page_fortyeight.pdf,/objects/small/khreport_page_fortyeight_sm.jpg,/objects/thumbs/khreport_page_fortyeight_th.jpg,,
dubois158,khreport_page_fortynine.pdf,Page 49 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 49 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.,2,2-6,230,Page; 49; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fortynine,image,/objects/khreport_page_fortynine.pdf,/objects/small/khreport_page_fortynine_sm.jpg,/objects/thumbs/khreport_page_fortynine_th.jpg,,
dubois159,khreport_page_fifty.pdf,Page 50 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 50 of the report on Krauch and Haefliger. This page is typed with handwritten edits.,2,2-6,230,Page; 50; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fifty,image,/objects/khreport_page_fifty.pdf,/objects/small/khreport_page_fifty_sm.jpg,/objects/thumbs/khreport_page_fifty_th.jpg,,
dubois160,khreport_page_fiftyone.pdf,Page 51 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 51 of the report on Krauch and Haefliger. This page is typed.,2,2-6,230,Page; 51; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftyone,image,/objects/khreport_page_fiftyone.pdf,/objects/small/khreport_page_fiftyone_sm.jpg,/objects/thumbs/khreport_page_fiftyone_th.jpg,,
dubois161,khreport_page_fiftytwo.pdf,Page 52 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 52 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits and notes.,2,2-6,230,Page; 52; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftytwo,image,/objects/khreport_page_fiftytwo.pdf,/objects/small/khreport_page_fiftytwo_sm.jpg,/objects/thumbs/khreport_page_fiftytwo_th.jpg,,
dubois162,khreport_page_fiftythree.pdf,Page 53 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 53 of the report on Krauch and Haefliger. This page is typed with handwritten edits and notes.,2,2-6,230,Page; 53; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftythree,image,/objects/khreport_page_fiftythree.pdf,/objects/small/khreport_page_fiftythree_sm.jpg,/objects/thumbs/khreport_page_fiftythree_th.jpg,,
dubois163,khreport_page_fiftyfour.pdf,Page 54 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 54 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits and notes.,2,2-6,230,Page; 54; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftyfour,image,/objects/khreport_page_fiftyfour.pdf,/objects/small/khreport_page_fiftyfour_sm.jpg,/objects/thumbs/khreport_page_fiftyfour_th.jpg,,
dubois164,khreport_page_fiftyfive.pdf,Page 55 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 55 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits.,2,2-6,230,Page; 55; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftyfive,image,/objects/khreport_page_fiftyfive.pdf,/objects/small/khreport_page_fiftyfive_sm.jpg,/objects/thumbs/khreport_page_fiftyfive_th.jpg,,
dubois165,khreport_page_fiftysix.pdf,Page 56 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 56 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits.,2,2-6,230,Page; 56; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftysix,image,/objects/khreport_page_fiftysix.pdf,/objects/small/khreport_page_fiftysix_sm.jpg,/objects/thumbs/khreport_page_fiftysix_th.jpg,,
dubois166,khreport_page_fiftyseven.pdf,Page 57 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 57 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits. This page has Page 58 of the report stapled on. Page 58 has a handwritten note to Ruth.,2,2-6,230,Page; 57; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftyseven,image,/objects/khreport_page_fiftyseven.pdf,/objects/small/khreport_page_fiftyseven_sm.jpg,/objects/thumbs/khreport_page_fiftyseven_th.jpg,,
dubois167,khreport_page_fiftynine.pdf,Page 59 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 59 of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits.,2,2-6,230,Page; 59; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_fiftynine,image,/objects/khreport_page_fiftynine.pdf,/objects/small/khreport_page_fiftynine_sm.jpg,/objects/thumbs/khreport_page_fiftynine_th.jpg,,
dubois168,khreport_page_sixty.pdf,Page 60 of Krauch-Haefliger Report,Holocaust Education and Resource Center,,,Page 60 of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.,2,2-6,230,Page; 60; Krauch; Haefliger; Report; Typed; Handwritten,,,,,application/pdf,,,,khreport_page_sixty,image,/objects/khreport_page_sixty.pdf,/objects/small/khreport_page_sixty_sm.jpg,/objects/thumbs/khreport_page_sixty_th.jpg,,
dubois169,khreport_partiii_page_fortysix.pdf,"Page 46, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 46, Part III of the report on Krauch and Haefliger. This page is typed with handwritten edits in black pen.",2,2-6,230,Page; 46; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_fortysix,image,/objects/khreport_partiii_page_sixtyone.pdf,/objects/small/khreport_partiii_page_sixtyone_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtyone_th.jpg,,
dubois170,khreport_partiii_page_fortyseven.pdf,"Page 47, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 47, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten notes in black pen.",2,2-6,230,Page; 47; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes; Black Pen,,,,,application/pdf,,,,khreport_partiii_page_fortyseven,image,/objects/khreport_partiii_page_sixtytwo.pdf,/objects/small/khreport_partiii_page_sixtytwo_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtytwo_th.jpg,,
dubois171,khreport_partiii_page_fortyeight.pdf,"Page 48, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 48, Part III of the report on Krauch and Haefliger. This page is typed with minimal edits in black pen.",2,2-6,230,Page; 48; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edtis; Black Pen,,,,,application/pdf,,,,khreport_partiii_page_fortyeight,image,/objects/khreport_partiii_page_sixtythree.pdf,/objects/small/khreport_partiii_page_sixtythree_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtythree_th.jpg,,
dubois172,khreport_partiii_page_fortynine.pdf,"Page 49, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 49, Part III of the report on Krauch and Haefliger. This page is typed with notes in black pen.",2,2-6,230,Page; 49; Part III; Krauch; Haefliger; Report; Typed; Notes,,,,,application/pdf,,,,khreport_partiii_page_fortynine,image,/objects/khreport_partiii_page_sixtyfour.pdf,/objects/small/khreport_partiii_page_sixtyfour_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtyfour_th.jpg,,
dubois173,khreport_partiii_page_fifty.pdf,"Page 50, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 50, Part III of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits in black pen.",2,2-6,230,Page; 50; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes; Edits,,,,,application/pdf,,,,khreport_partiii_page_fifty,image,/objects/khreport_partiii_page_sixtyfive.pdf,/objects/small/khreport_partiii_page_sixtyfive_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtyfive_th.jpg,,
dubois174,khreport_partiii_page_fiftyone.pdf,"Page 51, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 51, Part III of the report on Krauch and Haefliger. This page is typed with handwritten edits in black pen.",2,2-6,230,Page; 51; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_fiftyone,image,/objects/khreport_partiii_page_sixtysix.pdf,/objects/small/khreport_partiii_page_sixtysix_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtysix_th.jpg,,
dubois175,khreport_partiii_page_fiftytwo.pdf,"Page 52, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 52, Part III of the report on Krauch and Haefliger. This page is typed with handwritten edits in black pen.",2,2-6,230,Page; 52; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_fiftytwo,image,/objects/khreport_partiii_page_sixtyseven.pdf,/objects/small/khreport_partiii_page_sixtyseven_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtyseven_th.jpg,,
dubois176,khreport_partiii_page_fiftythree.pdf,"Page 53, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 53, Part III of the report on Krauch and Haefliger. This page is typed with handwritten edits in black pen.",2,2-6,230,Page; 53; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_fiftythree,image,/objects/khreport_partiii_page_sixtyeight.pdf,/objects/small/khreport_partiii_page_sixtyeight_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtyeight_th.jpg,,
dubois177,khreport_partiii_page_fiftyfour.pdf,"Page 54, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 54, Part III of the report on Krauch and Haefliger. This page is typed with handwritten notes in black pen.",2,2-6,230,Page; 54; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes,,,,,application/pdf,,,,khreport_partiii_page_fiftyfour,image,/objects/khreport_partiii_page_sixtynine.pdf,/objects/small/khreport_partiii_page_sixtynine_sm.jpg,/objects/thumbs/khreport_partiii_page_sixtynine_th.jpg,,
dubois178,khreport_partiii_page_fiftyfive.pdf,"Page 55, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 55, Part III of the report on Krauch and Haefliger. This page is typed with handwritten edits in both pencil and black pen.",2,2-6,230,Page; 55; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_fiftyfive,image,/objects/khreport_partiii_page_seventy.pdf,/objects/small/khreport_partiii_page_seventy_sm.jpg,/objects/thumbs/khreport_partiii_page_seventy_th.jpg,,
dubois179,khreport_partiii_page_fiftysix.pdf,"Page 56, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 56, Part III of the report on Krauch and Haefliger. This page is typed with handwritten notes.",2,2-6,230,Page; 56; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes,,,,,application/pdf,,,,khreport_partiii_page_fiftysix,image,/objects/paul_dencker_interrogation.pdf,/objects/small/paul_dencker_interrogation_sm.jpg,/objects/thumbs/paul_dencker_interrogation_th.jpg,,
dubois180,khreport_partiii_page_fiftyseven.pdf,"Page 57, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 57, Part III of the report on Krauch and Haefliger. This page is typed with handwritten notes.",2,2-6,230,Page; 57; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes,,,,,application/pdf,,,,khreport_partiii_page_fiftyseven,image,/objects/paul_dencker_continued.pdf,/objects/small/paul_dencker_continued_sm.jpg,/objects/thumbs/paul_dencker_continued_th.jpg,,
dubois181,khreport_partiii_page_fiftyeight.pdf,"Page 58, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 58, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.",2,2-6,230,Page; 58; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_fiftyeight,image,/objects/georg_von_schnitzler_interrogation.pdf,/objects/small/georg_von_schnitzler_interrogation_sm.jpg,/objects/thumbs/georg_von_schnitzler_interrogation_th.jpg,,
dubois182,khreport_partiii_page_fiftynine.pdf,"Page 59, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 59, Part III of the report on Krauch and Haefliger. This page is typed with handwritten edits.",2,2-6,230,Page; 59; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_fiftynine,image,/objects/schnitzler_interrogation_two.pdf,/objects/small/schnitzler_interrogation_two_sm.jpg,/objects/thumbs/schnitzler_interrogation_two_th.jpg,,
dubois183,khreport_partiii_page_sixty.pdf,"Page 60, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 60, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.",2,2-6,230,Page; 60; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_sixty,image,/objects/schnitzler_interrogation_three.pdf,/objects/small/schnitzler_interrogation_three_sm.jpg,/objects/thumbs/schnitzler_interrogation_three_th.jpg,,
dubois184,khreport_partiii_page_sixtyone.pdf,"Page 61, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 61, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten edits.",2,2-6,230,Page; 61; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Edits,,,,,application/pdf,,,,khreport_partiii_page_sixtyone,image,/objects/frank_fahle_interrogation.pdf,/objects/small/frank_fahle_interrogation_sm.jpg,/objects/thumbs/frank_fahle_interrogation_th.jpg,,
dubois185,khreport_partiii_page_sixtytwo.pdf,"Page 62, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 62, Part III of the report on Krauch and Haefliger. This page is typed with handwritten notes.",2,2-6,230,Page; 62; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes,,,,,application/pdf,,,,khreport_partiii_page_sixtytwo,image,/objects/frank_fahle_continued.pdf,/objects/small/frank_fahle_continued_sm.jpg,/objects/thumbs/frank_fahle_continued_th.jpg,,
dubois186,khreport_partiii_page_sixtythree.pdf,"Page 63, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 63, Part III of the report on Krauch and Haefliger. This page is typed with handwritten notes.",2,2-6,230,Page; 63; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes,,,,,application/pdf,,,,khreport_partiii_page_sixtythree,image,/objects/wilhelm_mann_charges.pdf,/objects/small/wilhelm_mann_charges_sm.jpg,/objects/thumbs/wilhelm_mann_charges_th.jpg,,
dubois187,khreport_partiii_page_sixtyfour.pdf,"Page 64, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 64, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten notes and edits.",2,2-6,230,Page; 64; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes; Edits,,,,,application/pdf,,,,khreport_partiii_page_sixtyfour,image,/objects/heinrich_buetefisch_charges.pdf,/objects/small/heinrich_buetefisch_charges_sm.jpg,/objects/thumbs/heinrich_buetefisch_charges_th.jpg,,
dubois188,khreport_partiii_page_sixtyfive.pdf,"Page 65, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 65, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten notes.",2,2-6,230,Page; 65; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes; Edits,,,,,application/pdf,,,,khreport_partiii_page_sixtyfive,image,/objects/paul_haefliger_charges.pdf,/objects/small/paul_haefliger_charges_sm.jpg,/objects/thumbs/paul_haefliger_charges_th.jpg,,
dubois189,khreport_partiii_page_sixtysix.pdf,"Page 66, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 66, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten notes and edits.",2,2-6,230,Page; 66; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes; Edits,,,,,application/pdf,,,,khreport_partiii_page_sixtysix,image,/objects/friedrich_jaehne_charges.pdf,/objects/small/friedrich_jaehne_charges_sm.jpg,/objects/thumbs/friedrich_jaehne_charges_th.jpg,,
dubois190,khreport_partiii_page_sixtyseven.pdf,"Page 67, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 67, Part III of the report on Krauch and Haefliger. This page is typed with handwritten notes and edits.",2,2-6,230,Page; 67; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes; Edits,,,,,application/pdf,,,,khreport_partiii_page_sixtyseven,image,/objects/carl_lautenschlaeger_charges.pdf,/objects/small/carl_lautenschlaeger_charges_sm.jpg,/objects/thumbs/carl_lautenschlaeger_charges_th.jpg,,
dubois191,khreport_partiii_page_sixtyeight.pdf,"Page 68, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 68, Part III of the report on Krauch and Haefliger. This page is typed wtih handwritten notes.",2,2-6,230,Page; 68; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes,,,,,application/pdf,,,,khreport_partiii_page_sixtyeight,image,/objects/walter_duerrfeld_charges.pdf,/objects/small/walter_duerrfeld_charges_sm.jpg,/objects/thumbs/walter_duerrfeld_charges_th.jpg,,
dubois192,khreport_partiii_page_sixtynine.pdf,"Page 69, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 69, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten notes and edits.",2,2-6,230,Page; 69; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes; Edits,,,,,application/pdf,,,,khreport_partiii_page_sixtynine,image,/objects/hermann_schmitz_charges.pdf,/objects/small/hermann_schmitz_charges_sm.jpg,/objects/thumbs/hermann_schmitz_charges_th.jpg,,
dubois193,khreport_partiii_page_seventy.pdf,"Page 70, Part III of Krauch-Haefliger Report",Holocaust Education and Resource Center,,,"Page 70, Part III of the report on Krauch and Haefliger. This page is typed with minimal handwritten notes. (This report continues).",2,2-6,230,Page; 70; Part III; Krauch; Haefliger; Report; Typed; Handwritten; Notes;,,,,,application/pdf,,,,khreport_partiii_page_seventy,image,/objects/fritz_gajewski_charges.pdf,/objects/small/fritz_gajewski_charges_sm.jpg,/objects/thumbs/fritz_gajewski_charges_th.jpg,,
dubois194,paul_dencker_interrogation.pdf,Interrogation of Paul Dencker,Holocaust Education and Resource Center,1947-6-2,No,First page of the transcript of the interrogation of Paul Dencker. The transcript is held together with a paper clip. Some pages are creased.,2,2-6,231,Interrogation; Paul; Dencker; Transcript,,,,,application/pdf,,,,paul_dencker_interrogation,image,/objects/friedrich_hermmann_charges.pdf,/objects/small/friedrich_hermmann_charges_sm.jpg,/objects/thumbs/friedrich_hermmann_charges_th.jpg,,
dubois195,paul_dencker_continued.pdf,Interrogation of Paul Dencker Continued,Holocaust Education and Resource Center,1947-6-3,No,First page of the transcript of the continued interrogation of Paul Dencker. The transcript is held together with a paper clip. The pages are creased.,2,2-6,231,Interrogation; Paul; Dencker; Continued; Transcript,,,,,application/pdf,,,,paul_dencker_continued,image,/objects/insert_a_defendants.pdf,/objects/small/insert_a_defendants_sm.jpg,/objects/thumbs/insert_a_defendants_th.jpg,,
dubois196,georg_von_schnitzler_interrogation.pdf,Interrogation of Dr Georg von Schnitzler,Holocaust Education and Resource Center,1947-3-24,No,First page of the transcript of the interrogation of Dr Georg von Schnitzler. The transcript is held together with a staple. Some of the pages are creased.,2,2-6,231,Interrogation; Georg; von; Schnitzler; Transcript,,,,,application/pdf,,,,georg_von_schnitzler_interrogation,image,/objects/farben_case_one.pdf,/objects/small/farben_case_one_sm.jpg,/objects/thumbs/farben_case_one_th.jpg,,
dubois197,schnitzler_interrogation_two.pdf,Interrogation of Dr Georg von Schnitzler 2,Holocaust Education and Resource Center,1947-3-16,No,First page of the transcript of the interrogation of Dr Georg von Schnitzler. The transcript is held together with a staple. Some of the pages are creased.,2,2-6,231,Interrogation; Georg; von; Schnitzler; Transcript,,,,,application/pdf,,,,schnitzler_interrogation_two,image,/objects/farben_case_two.pdf,/objects/small/farben_case_two_sm.jpg,/objects/thumbs/farben_case_two_th.jpg,,
dubois198,schnitzler_interrogation_three.pdf,Interrogation of Dr Gerog von Schnitzler 3,Holocaust Education and Resource Center,1947-3-15,No,First page of the transcript of the interrogation of Dr Georg von Schnitzler. The transcript is held together with a staple. Some of the pages are creased.,2,2-6,231,Interrogation; Schnitzler; Transcript,,,,,application/pdf,,,,schnitzler_interrogation_three,image,/objects/farben_case_three.pdf,/objects/small/farben_case_three_sm.jpg,/objects/thumbs/farben_case_three_th.jpg,,
dubois199,frank_fahle_interrogation.pdf,Interrogation of Dr Gunther Frank-Fahle,Holocaust Education and Resource Center,1947-5-30,No,First page of the transcript of the interrogation of Dr Gunther Frank-Fahle. The transcript is held together with a staple. Some of the pages are creased.,2,2-6,231,Interrogation; Gunther; Frank-Fahle; Transcript,,,,,application/pdf,,,,frank_fahle_interrogation,image,/objects/frank_fahle_interrogation.pdf,/objects/small/frank_fahle_interrogation_sm.jpg,/objects/thumbs/frank_fahle_interrogation_th.jpg,,
dubois200,frank_fahle_continued.pdf,Interrogation of Dr Gunther Frank-Fahle Continued,Holocaust Education and Resource Center,1947-6-10,No,First page of the transcript of the interrogation of Dr Gunther Frank-Fahle. The transcript is held together with a staple. Some of the pages are creased.,2,2-6,231,Interrogation; Gunther; Frank-Fahle; Continued; Transcript,,,,,application/pdf,,,,frank_fahle_continued,image,/objects/frank_fahle_continued.pdf,/objects/small/frank_fahle_continued_sm.jpg,/objects/thumbs/frank_fahle_continued_th.jpg,,
dubois204,wilhelm_mann_charges.pdf,Wilhelm Rudolf Mann's Charges,Holocaust Education and Resource Center,,,Packet of the charges on Wilhelm Rudolf Mann. It it a packet with two staples on the side.,2,2-6,232,Charges; Wilhelm; Rudolf; Mann; Packet,,,,,application/pdf,,,,wilhelm_mann_charges,image,/objects/wilhelm_mann_charges.pdf,/objects/small/wilhelm_mann_charges_sm.jpg,/objects/thumbs/wilhelm_mann_charges_th.jpg,,
dubois205,heinrich_buetefisch_charges.pdf,Heinrich Buetefisch's Charges,Holocaust Education and Resource Center,,,Packet of the charges on Heinrich Buetefisch. It is a packet with two staples on the side.,2,2-6,232,Charges; Heinrich; Buetefisch; Packet,,,,,application/pdf,,,,heinrich_buetefisch_charges,image,/objects/heinrich_buetefisch_charges.pdf,/objects/small/heinrich_buetefisch_charges_sm.jpg,/objects/thumbs/heinrich_buetefisch_charges_th.jpg,,
dubois206,paul_haefliger_charges.pdf,Paul Haefliger's Charges,Holocaust Education and Resource Center,,,Packet of the charges on Paul Haefliger. It is a packet with two staples on the side.,2,2-6,232,Charges; Haefliger; Packet,,,,,application/pdf,,,,paul_haefliger_charges,image,/objects/paul_haefliger_charges.pdf,/objects/small/paul_haefliger_charges_sm.jpg,/objects/thumbs/paul_haefliger_charges_th.jpg,,
dubois207,friedrich_jaehne_charges.pdf,Friedrich Jaehne's Charges,Holocaust Education and Resource Center,,,Packet of the charges on Friedrich Jaehne. This packet has two staples on the side.,2,2-6,233,Charges; Friedrich; Jaehne; Packet ,,,,,application/pdf,,,,friedrich_jaehne_charges,image,/objects/friedrich_jaehne_charges.pdf,/objects/small/friedrich_jaehne_charges_sm.jpg,/objects/thumbs/friedrich_jaehne_charges_th.jpg,,
