objectid,filename,title,creator,date,date is approx?,description,series number,box number ,folder number,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dubois074,georg_august_eduard_offices.pdf,Georg August Eduard von Schintzler's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Georg August Eduard von Schintzler between 1932-1945. Notes typed.,2,2-6,229,Georg; August; Eduoard; Von; Schnitzler,,,,,application/pdf,,,,georg_august_eduard_offices,image,/objects/georg_august_eduard_offices.pdf,/objects/small/georg_august_eduard_offices_sm.jpg,/objects/thumbs/georg_august_eduard_offices_th.jpg,,
dubois075,georg_august_eduard_von_schintzlers_offices.pdf,Georg August Eduard von Schintzler associations continued,Holocaust Education and Resource Center,,,Notes typed about the offices and associations of Georg August Eduard von Schitzler,2,2-6,229,notes; Associations; typed; 1932; 1945;Georg; August; Eduoard; Von; SchnitzlerHerman; Schmitz,,,,,application/pdf,,,,georg_august_eduard_von_schintzlers_offices,image,/objects/georg_august_eduard_von_schintzlers_offices.pdf,/objects/small/georg_august_eduard_von_schintzlers_offices_sm.jpg,/objects/thumbs/georg_august_eduard_von_schintzlers_offices_th.jpg,,
dubois076,fritz_gajewski_offices.pdf,Fritz Gajwski's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Frtiz Gajwski between 1932 - 1945. Notes typed.,2,2-6,229,Lists; Associations; Offices. Fritz; Gajewaski; 1932; 1945;,,,,,application/pdf,,,,Fritz_gajewski_offices,image,/objects/fritz_gajewski_offices.pdf,/objects/small/fritz_gajewski_offices_sm.jpg,/objects/thumbs/fritz_gajewski_offices_th.jpg,,
dubois077,philip_heinrich_horlein_offices.pdf,Philip Heinrich Horlein's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Philip Heinrich Horlein between 1932 - 1945. Notes typed with handwritten notes.,2,2-6,229,Lists; Associations; Offices. Philip; Heinrich; Horlein 1932; 1945; Typed; Handwritten; Edits,,,,,application/pdf,,,,philip_heinrich_horlein_offices,image,/objects/philip_heinrich_horlein_offices.pdf,/objects/small/philip_heinrich_horlein_offices_sm.jpg,/objects/thumbs/philip_heinrich_horlein_offices_th.jpg,,
dubois078,johann_august_von_knieriem_offices.pdf,Johann August von Knierim's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Johann August von Knieriem between 1932 - 1945. Notes typed with handwritten edits.,2,2-6,229,List; associations; offices; Joachim; August; Von; Knieriem 1932; 1945; Handwritten,,,,,application/pdf,,,,johann_august_von_knieriem_offices,image,/objects/johann_august_von_knieriem_offices.pdf,/objects/small/johann_august_von_knieriem_offices_sm.jpg,/objects/thumbs/johann_august_von_knieriem_offices_th.jpg,,
dubois079,fritz_ter_meer_offices.pdf,Fritz ter Meer's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Fritz ter Meer between 1932 - 1945. Notes typed.,2,2-6,229,List; Associations; Offices; Fritz Meer; 1932; 1945,,,,,application/pdf,,,,fritz_ter_meer_offices,image,/objects/fritz_ter_meer_offices.pdf,/objects/small/fritz_ter_meer_offices_sm.jpg,/objects/thumbs/fritz_ter_meer_offices_th.jpg,,
dubois080,christian_schneider_offices.pdf,Christian Schenider's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Christian Schneider between 1932 - 1945. Notes typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Christian; Schneid; 1932; 1945 ,,,,,application/pdf,,,,christian_schneider_offices,image,/objects/christian_schneider_offices.pdf,/objects/small/christian_schneider_offices_sm.jpg,/objects/thumbs/christian_schneider_offices_th.jpg,,
dubois081,otto_ambros_offices.pdf,Otto Ambros's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Otto Ambros between 1932 - 1945. Notes typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Otto; Ambros,,,,,application/pdf,,,,otto_ambros_offices,image,/objects/otto_ambros_offices.pdf,/objects/small/otto_ambros_offices_sm.jpg,/objects/thumbs/otto_ambros_offices_th.jpg,,
dubois082,max_brueggemann_offices.pdf,Max Brueggemann's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Max Brueggemann between 1932 - 1945. Notes typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Max; Brueggemann,,,,,application/pdf,,,,max_brueggemann_offices,image,/objects/max_brueggemann_offices.pdf,/objects/small/max_brueggemann_offices_sm.jpg,/objects/thumbs/max_brueggemann_offices_th.jpg,,
dubois083,ernst_burgin_offices.pdf,Ernst Burgin's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Ernst Burgin from 1932 - 1945. Notes typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Ernst; Burgin,,,,,application/pdf,,,,ernst_burgin_offices,image,/objects/ernst_burgin_offices.pdf,/objects/small/ernst_burgin_offices_sm.jpg,/objects/thumbs/ernst_burgin_offices_th.jpg,,
dubois084,heinfich_butefischs_offices_continued.pdf,Second page of Heinfich Butefisch's associations and offices he held,Holocaust Education and Resource Center,,,Second page of a list of associations and offices held  by Heinrich Butefich between 1932 - 1945. Notes typed with handwritten notes. Pages held together with a paperclip.,2,2-6,229,List; Associations; Officers; Heinrich; Butefisch,,,,,application/pdf,,,,heinfich_butefischs_offices_continued,image,/objects/heinfich_butefischs_offices_continued.pdf,/objects/small/heinfich_butefischs_offices_continued_sm.jpg,/objects/thumbs/heinfich_butefischs_offices_continued_th.jpg,,
dubois085,paul_haefliger_offices.pdf,Paul Haefliger's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Paul Haefliger between 1932 - 1945. Notes are typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Paul; Haefliger; 1932; 1945; Handwritten,,,,,application/pdf,,,,paul_haefliger_offices,image,/objects/paul_haefliger_offices.pdf,/objects/small/paul_haefliger_offices_sm.jpg,/objects/thumbs/paul_haefliger_offices_th.jpg,,
